Ticker,Date,Open,High,Low,Close,Volume
SPY,2014/10/27,195.73,196.45,195.03,196.16,82953689
SPY,2014/10/28,196.82,198.42,196.73,198.41,106735936
SPY,2014/10/29,198.55,199.12,196.8,198.11,142557417
SPY,2014/10/30,197.58,199.95,197.4,199.38,113329976
SPY,2014/10/31,201.78,201.82,200.77,201.66,146902554
SPY,2014/11/3,201.92,202.45,201.305,201.77,93734143
SPY,2014/11/4,201.23,201.6,200.06,201.07,93342777
SPY,2014/11/5,202.54,202.59,201.45,202.34,91708574
SPY,2014/11/6,202.39,203.26,201.64,203.15,107089076
SPY,2014/11/7,203.17,203.5999,202.61,203.34,89539712
SPY,2014/11/10,203.38,204.04,203.13,203.98,66318964
SPY,2014/11/11,204.055,204.31,203.65,204.175,54499375
SPY,2014/11/12,203.35,204.24,203.31,203.96,90120295
SPY,2014/11/13,204.16,204.83,203.21,204.19,85357918
SPY,2014/11/14,204.1,204.49,203.72,204.24,80417514
SPY,2014/11/17,203.85,204.58,203.65,204.37,80440954
SPY,2014/11/18,204.44,205.92,204.44,205.55,76068107
SPY,2014/11/19,205.31,205.55,204.3,205.22,82373009
SPY,2014/11/20,204.26,205.71,204.18,205.58,72840326
SPY,2014/11/21,207.64,207.8445,205.98,206.68,142327285
SPY,2014/11/24,207.17,207.39,206.91,207.26,65880759
SPY,2014/11/25,207.54,207.79,206.8,207.11,79108301
SPY,2014/11/26,207.29,207.76,207.03,207.64,62167832
SPY,2014/11/28,207.49,207.87,206.91,207.2,57890088
SPY,2014/12/1,206.4,206.54,205.38,205.76,103968354
SPY,2014/12/2,205.81,207.34,205.782,207.085,74507192
SPY,2014/12/3,207.3,208.15,207.1,207.89,68951968
SPY,2014/12/4,207.54,208.265,206.7,207.66,91316591
SPY,2014/12/5,207.87,208.47,207.55,208,91025470
SPY,2014/12/8,207.52,208.12,205.93,206.61,108588152
SPY,2014/12/9,204.37,206.6,203.91,206.47,125180054
SPY,2014/12/10,205.91,205.98,202.93,203.1601,159856394
SPY,2014/12/11,203.88,206.19,203.71,204.19,159012805
SPY,2014/12/12,202.64,203.819,200.85,200.89,202330191
SPY,2014/12/15,201.98,202.53,198.78,199.51,189965750
SPY,2014/12/16,198.58,202.395,197.86,197.91,259543848
SPY,2014/12/17,198.44,202.34,198.29,201.79,253910092
SPY,2014/12/18,204.74,212.97,203.92,206.78,257633887
SPY,2014/12/19,206.43,207.33,205.6109,206.52,245084590
SPY,2014/12/22,206.75,207.47,206.46,207.47,148318934
SPY,2014/12/23,208.17,208.23,207.3991,207.75,122167931
SPY,2014/12/24,208.02,208.34,207.72,207.77,42963399
SPY,2014/12/26,208.31,208.85,208.25,208.44,57326703
SPY,2014/12/29,208.22,208.97,208.14,208.72,79643948
SPY,2014/12/30,208.21,208.37,207.51,207.6,73540761
SPY,2014/12/31,207.99,208.19,205.39,205.54,130333829
SPY,2015/1/2,206.38,206.88,204.18,205.43,121465865
SPY,2015/1/5,204.17,204.37,201.35,201.72,169632646
SPY,2015/1/6,202.09,202.72,198.855,199.82,209151408
SPY,2015/1/7,201.42,202.72,200.88,202.31,125346709
SPY,2015/1/8,204.01,206.16,203.99,205.9,147217784
SPY,2015/1/9,206.4,206.42,203.51,204.25,158567288
SPY,2015/1/12,204.41,204.6,201.92,202.65,144396067
SPY,2015/1/13,204.12,205.48,200.51,202.08,214553306
SPY,2015/1/14,199.65,201.1,198.57,200.86,192991092
SPY,2015/1/15,201.63,202.01,198.88,199.0199,176613906
SPY,2015/1/16,198.77,201.82,198.55,201.63,211879605
SPY,2015/1/20,202.4,202.72,200.17,202.055,130991069
SPY,2015/1/21,201.5,203.66,200.94,203.08,122942707
SPY,2015/1/22,203.99,206.26,202.33,206.1,174356029
SPY,2015/1/23,205.79,206.1,204.81,204.97,117516753
SPY,2015/1/26,204.71,205.56,203.85,205.45,92009711
SPY,2015/1/27,202.97,204.12,201.74,202.74,134044598
SPY,2015/1/28,204.17,204.29,199.91,200.14,168514312
SPY,2015/1/29,200.38,202.3,198.68,201.9902,173585424
SPY,2015/1/30,200.57,202.17,199.13,199.45,197729724
SPY,2015/2/2,200.05,202.03,197.86,201.92,163106969
SPY,2015/2/3,203,204.85,202.55,204.84,124212881
SPY,2015/2/4,203.92,205.38,203.51,204.06,134306728
SPY,2015/2/5,204.86,206.3,204.77,206.12,97953181
SPY,2015/2/6,206.56,207.24,204.92,205.55,125672026
SPY,2015/2/9,204.77,205.64,204.135,204.63,87219016
SPY,2015/2/10,205.88,207.12,204.6801,206.81,96164183
SPY,2015/2/11,206.61,207.45,205.83,206.93,91087785
SPY,2015/2/12,207.89,208.99,206.9727,208.92,97545949
SPY,2015/2/13,209.07,209.84,208.76,209.78,93670430
SPY,2015/2/17,209.4,210.32,209.1,210.11,76968199
SPY,2015/2/18,209.66,210.22,209.3401,210.13,80652941
SPY,2015/2/19,209.41,210.42,209.24,209.98,91462491
SPY,2015/2/20,209.48,211.33,208.73,211.239,140896392
SPY,2015/2/23,210.94,211.21,210.48,211.209,74411054
SPY,2015/2/24,211.12,212.05,210.76,211.81,72472263
SPY,2015/2/25,211.66,212.24,211.22,211.63,73061687
SPY,2015/2/26,211.52,211.71,210.65,211.38,72697868
SPY,2015/2/27,211.26,211.58,210.6,210.66,108075972
SPY,2015/3/2,210.78,212.06,210.72,211.99,87491428
SPY,2015/3/3,211.47,212.054,210.08,211.12,110325809
SPY,2015/3/4,210.4,210.49,209.06,210.2301,114497192
SPY,2015/3/5,210.62,210.8,209.85,210.46,76872957
SPY,2015/3/6,209.42,209.94,207.1,207.5,188127982
SPY,2015/3/9,207.74,208.79,207.5459,208.36,89818893
SPY,2015/3/10,206.71,206.81,204.93,204.98,157121263
SPY,2015/3/11,205.29,205.5,204.4,204.5,110145718
SPY,2015/3/12,205.26,207.175,205.2,207.1,93993523
SPY,2015/3/13,206.77,207.9338,204.58,205.8272,162410893
SPY,2015/3/16,206.71,208.69,205.8641,208.58,136099192
SPY,2015/3/17,207.69,208.42,206.98,207.96,94510422
SPY,2015/3/18,207.39,211.27,206.62,210.46,228808524
SPY,2015/3/19,209.96,210.4697,209.03,209.5,117917302
SPY,2015/3/20,209.71,211.02,209.4903,210.41,177715081
SPY,2015/3/23,210.42,211.11,210,210,71784536
SPY,2015/3/24,209.85,210.4,208.74,208.82,77805321
SPY,2015/3/25,209.07,209.35,205.71,205.76,159521708
SPY,2015/3/26,204.96,206.37,204.12,205.27,153067241
SPY,2015/3/27,205.13,205.95,204.9,205.74,118938966
SPY,2015/3/30,206.98,208.61,206.96,208.25,96180365
SPY,2015/3/31,207.26,208.1,206.36,206.43,126768703
SPY,2015/4/1,206.39,206.42,204.51,205.7,137303584
SPY,2015/4/2,205.62,206.98,205.4,206.435,86900906
SPY,2015/4/6,205.37,208.45,205.21,207.83,114368155
SPY,2015/4/7,207.855,208.76,207.24,207.28,81236337
SPY,2015/4/8,207.55,208.51,207.08,207.975,89351939
SPY,2015/4/9,207.78,209.18,207.19,208.9,85548854
SPY,2015/4/10,209.2,210.09,208.96,210.04,72722915
SPY,2015/4/13,209.87,210.63,209.03,209.09,74436594
SPY,2015/4/14,208.85,209.71,208.1,209.49,75099866
SPY,2015/4/15,210.05,211.04,209.95,210.43,99529320
SPY,2015/4/16,210.03,210.98,209.7928,210.37,68934864
SPY,2015/4/17,208.94,209.23,207.01,207.95,191113230
SPY,2015/4/20,209.06,210.25,208.96,209.85,92189481
SPY,2015/4/21,210.67,210.86,209.24,209.6,72559831
SPY,2015/4/22,210.01,210.85,208.9,210.63,78264616
SPY,2015/4/23,210.15,211.94,210.01,211.16,102585942
SPY,2015/4/24,211.66,211.97,211.11,211.6499,61327387
SPY,2015/4/27,212.33,212.48,210.54,210.77,79358126
SPY,2015/4/28,210.74,211.5,209.3301,211.44,86863531
SPY,2015/4/29,210.37,211.29,209.6,210.57,125684903
SPY,2015/4/30,209.88,210.35,207.62,208.46,161304890
SPY,2015/5/1,209.4,210.77,209.28,210.72,103399711
SPY,2015/5/4,211.23,212.02,211.1,211.32,70927235
SPY,2015/5/5,211.03,211.46,208.73,208.9,113326156
SPY,2015/5/6,209.56,209.93,206.76,208.04,135060151
SPY,2015/5/7,207.92,209.38,207.52,208.87,88244940
SPY,2015/5/8,210.88,211.86,210.78,211.62,155877260
SPY,2015/5/11,211.57,211.89,210.52,210.605,75708065
SPY,2015/5/12,209.61,210.63,208.62,209.98,119727592
SPY,2015/5/13,210.47,211.22,209.74,210.02,94667943
SPY,2015/5/14,211.24,212.32,210.91,212.21,95934006
SPY,2015/5/15,212.44,212.61,211.86,212.44,76510099
SPY,2015/5/18,212.24,213.4,212.16,213.1,74549685
SPY,2015/5/19,213.24,213.57,212.69,213.03,72114610
SPY,2015/5/20,213.15,213.78,212.504,212.88,76857530
SPY,2015/5/21,212.71,213.75,212.51,213.5,64764585
SPY,2015/5/22,213.04,213.54,212.91,212.99,57433495
SPY,2015/5/26,212.4,212.9089,210.2,210.7,124308584
SPY,2015/5/27,211.25,212.98,210.7612,212.7,93213981
SPY,2015/5/28,212.33,212.59,211.63,212.46,74974560
SPY,2015/5/29,212.38,212.43,210.82,211.14,124919611
SPY,2015/6/1,211.94,212.34,210.62,211.57,93338750
