Ticker,Date,Open,High,Low,Close,Volume
TLT,2004/11/4,88.86,89.1,88.75,88.78,2285100
TLT,2004/11/5,87.74,87.93,87.52,87.81,1838000
TLT,2004/11/8,87.5,87.6,87.4,87.5,454100
TLT,2004/11/9,87.4,87.7285,87.4,87.45,373000
TLT,2004/11/10,87.31,87.47,86.91,87.12,1303400
TLT,2004/11/11,87.45,87.45,86.93,86.93,309700
TLT,2004/11/12,87.34,88.11,87.33,87.87,1125900
TLT,2004/11/15,87.95,88,87.74,87.95,763200
TLT,2004/11/16,87.81,87.95,87.7,87.95,520900
TLT,2004/11/17,87.89,88.76,87.89,88.7,1249400
TLT,2004/11/18,88.55,89.06,88.41,88.97,891500
TLT,2004/11/19,88.9,89.03,88.09,88.26,1244500
TLT,2004/11/22,88.35,88.87,88.3,88.72,511500
TLT,2004/11/23,88.5,89.2,88.48,88.83,747600
TLT,2004/11/24,88.91,88.91,88.73,88.83,309700
TLT,2004/11/26,88.29,88.34,88.23,88.25,697100
TLT,2004/11/29,87.47,87.6,87.17,87.31,1546400
TLT,2004/11/30,86.94,87.16,86.63,86.94,1754500
TLT,2004/12/1,86.7,86.75,86.18,86.45,1939800
TLT,2004/12/2,86.17,86.3,86.01,86.1,2881500
TLT,2004/12/3,87.15,87.66,86.93,87.44,2233700
TLT,2004/12/6,87.49,87.85,87.45,87.74,1314100
TLT,2004/12/7,87.74,87.89,87.5,87.85,784300
TLT,2004/12/8,88.41,89.22,88.36,89.22,2639700
TLT,2004/12/9,88.99,89.27,88.57,88.63,1428900
TLT,2004/12/10,88.95,89.05,88.67,88.85,1445000
TLT,2004/12/13,88.82,89.29,88.8,89.04,677400
TLT,2004/12/14,88.74,89.44,88.7,89.39,1568200
TLT,2004/12/15,89.95,90.25,89.84,90.2,2511500
TLT,2004/12/16,89.89,89.89,88.85,88.87,1998200
TLT,2004/12/17,88.48,88.88,88.425,88.75,1319800
TLT,2004/12/20,88.87,89.1,88.82,88.91,230500
TLT,2004/12/21,89.06,89.24,88.9,89.18,245200
TLT,2004/12/22,89.21,89.21,88.7,88.88,511600
TLT,2004/12/23,88.74,88.79,88.57,88.59,738600
TLT,2004/12/27,88.33,88.37,87.7,87.9,1322600
TLT,2004/12/28,87.86,87.91,87.4,87.83,1253500
TLT,2004/12/29,87.87,88,87.57,87.74,567500
TLT,2004/12/30,87.8,88.45,87.74,88.33,626400
TLT,2004/12/31,88.37,88.65,88.3,88.55,1056400
TLT,2005/1/3,88.18,88.84,88.16,88.74,1168600
TLT,2005/1/4,88.72,88.75,87.81,87.81,1935400
